PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
1628983,1,Shai Gilgeous-Alexander,1610612760,OKC,64,2197,722,1374,0.525,138,372,0.371,515,572,0.9,59,268,327,398,114,67,165,145,2097,2129,2.41,0.69
1630162,2,Anthony Edwards,1610612750,MIN,65,2370,585,1323,0.442,265,653,0.406,335,401,0.835,49,336,385,300,73,39,213,120,1770,1550,1.41,0.34
203999,3,Nikola Jokić,1610612743,DEN,61,2224,674,1171,0.576,116,275,0.422,302,376,0.803,176,607,783,628,108,41,200,140,1766,2555,3.14,0.54
1628369,4,Jayson Tatum,1610612738,BOS,63,2307,582,1281,0.454,227,644,0.352,319,393,0.812,42,509,551,370,69,32,186,141,1710,1773,1.99,0.37
203507,5,Giannis Antetokounmpo,1610612749,MIL,53,1794,644,1068,0.603,8,44,0.182,322,542,0.594,123,520,643,314,41,63,174,129,1618,1861,1.8,0.24
1628973,6,Jalen Brunson,1610612752,NYK,61,2162,558,1138,0.49,140,365,0.384,350,424,0.825,25,156,181,452,58,6,153,132,1606,1496,2.95,0.38
1630595,7,Cade Cunningham,1610612765,DET,62,2188,590,1278,0.462,135,383,0.352,288,334,0.862,48,327,375,575,65,47,281,173,1603,1650,2.05,0.23
1626164,8,Devin Booker,1610612756,PHX,61,2285,523,1144,0.457,163,470,0.347,364,409,0.89,59,189,248,421,63,14,172,162,1573,1481,2.45,0.37
1629639,9,Tyler Herro,1610612748,MIA,63,2253,527,1144,0.461,220,596,0.369,227,264,0.86,25,314,339,360,54,15,163,78,1501,1452,2.21,0.33
1629027,10,Trae Young,1610612737,ATL,62,2242,454,1129,0.402,170,528,0.322,403,462,0.872,31,165,196,711,69,11,299,123,1481,1435,2.38,0.23
1628368,11,De'Aaron Fox,1610612759,SAS,62,2241,539,1163,0.463,118,381,0.31,263,318,0.827,54,244,298,392,91,25,174,164,1459,1412,2.25,0.52
